"Plant Name, Unit Number",State,County,NRC Region,Licensee,Parent Company Utility Name,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Licensed MWt,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Years of Operation through 12/31/2019,STAR,class,
Columbia Generating Station,WA ,Richland,4,Energy Northwest,Energy Northwest,BWR-MARK 2,GE 5,B&R,BECH,3544,96%,77%,92%,78%,98%,80%,97%,50%,95%,67%,93%,35,0,0,1
"Comanche Peak Nuclear Power Plant, Unit 1",Texas,Glen Rose,4,"Comanche Peak Power Company LLC – Owner
Vistra Operations Company LLC – Operator",Vistra Energy Corp.,PWR-DRYAMB,WEST 4LP,G&H,BRRT,3612,100%,91%,92%,100%,85%,94%,98%,91%,91%,100%,96%,29,1,1,0
"Comanche Peak Nuclear Power Plant, Unit 2",Texas,Glen Rose,4,"Comanche Peak Power Company LLC – Owner
Vistra Operations Company LLC – Operator",Vistra Energy Corp.,PWR-DRYAMB,WEST 4LP,BECH,BRRT,3612,93%,68%,100%,88%,93%,99%,91%,92%,104%,94%,95%,26,1,1,0
Cooper Nuclear Station ,Nebraska,Brownville,4,Nebraska Public Power District,Nebraska Public Power District,BWR-MARK 1,GE 4,B&R,B&R,2419,81%,99%,84%,97%,88%,97%,87%,86%,100%,72%,90%,45,0,0,3
"Davis-Besse Nuclear Power Station, Unit 1",Ohio,Oak Harbor,3,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,PWR-DRYAMB,B&W RLP,BECH,B&W,2817,93%,97%,79%,97%,74%,95%,91%,81%,66%,99%,97%,42,0,0,1
"Diablo Canyon Nuclear Power Plant, Unit 1",California,Avila Beach,4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,3411,98%,81%,98%,87%,87%,95%,84%,100%,88%,84%,98%,35,1,1,0
"Diablo Canyon Nuclear Power Plant, Unit 2",California,Avila Beach,4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,3411,87%,95%,88%,95%,86%,82%,97%,89%,100%,84%,74%,34,1,0,1
"Donald C. Cook Nuclear Plant, Unit 1",Michigan,Bridgman,3,Indiana Michigan Power Co.,Indiana Michigan Power Company,PWR-ICECND,WEST 4LP,AEP,AEP,3304,100%,72%,82%,78%,94%,78%,104%,87%,88%,3%,64%,45,0,0,1
"Donald C. Cook Nuclear Plant, Unit 2",Michigan,Bridgman,3,Indiana Michigan Power Co.,Indiana Michigan Power Company,PWR-ICECND,WEST 4LP,AEP,AEP,3468,79%,104%,71%,79%,101%,85%,91%,104%,84%,87%,101%,42,0,0,0
"Dresden Nuclear Power Station, Unit 2",Illinois,Morris,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",BWR-MARK 1,GE 3,S&L,UE&C,2957,99%,84%,91%,83%,98%,85%,104%,95%,102%,91%,98%,50,0,1,0
"Dresden Nuclear Power Station, Unit 3",Illinois,Morris,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",BWR-MARK 1,GE 3,S&L,UE&C,2957,94%,91%,84%,89%,95%,89%,91%,99%,90%,97%,93%,48,0,1,0
Duane Arnold Energy Center,Iowa,Palo,3,"NextEra Duane Arnold, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",BWR-MARK 1,GE 4,BECH,BECH,1912,93%,88%,79%,88%,79%,89%,83%,99%,89%,92%,103%,45,0,0,0
"Edwin I. Hatch Nuclear Plant, Unit 1",Georgia,Baxley ,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,BWR-MARK 1,GE 4,BECH,GPC,2804,91%,97%,93%,101%,89%,94%,89%,98%,85%,94%,84%,45,0,1,1
"Edwin I. Hatch Nuclear Plant, Unit 2",Georgia,Baxley ,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,BWR-MARK 1,GE 4,BECH,GPC,2804,95%,95%,101%,91%,99%,89%,98%,78%,96%,67%,96%,41,0,1,0
"Fermi, Unit 2",Michigan,Newport,3,DTE Electric Company,DTE Electric Company (DTE),BWR-MARK 1,GE 4,S&L,DANI,3486,75%,82%,86%,69%,82%,62%,54%,94%,80%,75%,98%,34,0,0,1
"Grand Gulf Nuclear Station, Unit 1",Mississippi,Port Gibson,4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",BWR-MARK 3,GE 6,BECH,BECH,4408,57%,58%,47%,93%,82%,86%,70%,94%,88%,100%,86%,35,0,0,1
"H. B. Robinson Steam Electric Plant, Unit 2",South Carolina,Hartsville,2,"Duke Energy Progress, LLC",Duke Energy,PWR-DRYAMB,WEST 3LP,EBSO,EBSO,2339,79%,88%,95%,85%,86%,85%,85%,100%,57%,104%,87%,49,0,0,1
